Country,Value
Zagreb,790017
Split,178102
Rijeka,128624
Osijek,108048
Zadar,75062
Velika Gorica,63517
Slavonski Brod,59141
Pula - Pola,57460
Karlovac,55705
Sisak,47768
Varaždin,46.946
Šibenik,46.332
Dubrovnik,42.615
Bjelovar,40.276
Kaštela,38.667
Samobor,37.633
Vinkovci,35.312
Koprivnica,30.854
Đakovo,27.745
Vukovar,27.683
Čakovec,27.104
Požega,26.248
Zaprešić,25.223
Sinj,24.826
Petrinja,24.671
Solin,23.926
Kutina,22.760
Virovitica,21.291
Križevci,21.122
Sveta Nedelja,18.059
Viškovo,14.445
Nedelišće,11.975
Popovača,11.905
Čepin,11.599
Matulji,11.246
Brdovec,11.134
Pitomača,10.059
Podstrana,9.129
Konavle,8.577
Župa dubrovačka,8.331
Bedekovčina,8.041
Ivankovo,8.006
Rugvica,7.871
Erdut,7.308
Čavle,7.220
Dugi Rat,7.092
Križ,6.963
Darda,6.908
Sibinj,6.895
Trnovec Bartolovečki,6.884
Brckovljani,6.837
Đurđenovac,6.750
Suhopolje,6.683
Bistra,6.632
Medulin,6.481
Maruševec,6.381
Sveti Križ Začretje,6.165
Kloštar Ivanić,6.091
Lekenik,6.032
Marija Bistrica,5.976
